hummingbird_name,hummingbird_ein,ipeds_match_1,ipeds_match_2,num_matches
University of Aesthetics & Cosmetology,,University of Aesthetics & Cosmetology,University of Aesthetics & Cosmetology,2
Lincoln University,231352655,Lincoln University,Lincoln University,3
Anderson University,570324906,Anderson University,Anderson University,2
Institute of Culinary Education,,Institute of Culinary Education,Institute of Culinary Education,2
Southwestern College,480543715,Southwestern College,Southwestern College,3
Marian University,350868175,Marian University,Marian University,2
Union College,610461768,Union College,Union College,2
Northwestern College,420698196,Northwestern College,Northwestern College,2
Cannella School of Hair Design-Chicago,,Cannella School of Hair Design-Chicago,Cannella School of Hair Design-Chicago,2
Trend Barber College,,Trend Barber College,Trend Barber College,2
Stellar Career College,,Stellar Career College,Stellar Career College,2
Interactive College of Technology,,Interactive College of Technology,Interactive College of Technology,3
Academy of Interactive Entertainment,273792158,Academy of Interactive Entertainment,Academy of Interactive Entertainment,2
Academy of Beauty Professionals,,Academy of Beauty Professionals,Academy of Beauty Professionals,4
The Salon Professional Academy,,The Salon Professional Academy,The Salon Professional Academy,3
Columbia College,430655867,Columbia College,Columbia College,4
Spartan College of Aeronautics and Technology,,Spartan College of Aeronautics and Technology,Spartan College of Aeronautics and Technology,3
Fortis College,203733343,Fortis College,Fortis College,2
Central School of Practical Nursing,340873175,Central School of Practical Nursing,Central School of Practical Nursing,2
Larry's Barber College,,Larry's Barber College,Larry's Barber College,2
Davis College,156019050,Davis College,Davis College,2
Bethany College,550356985,Bethany College,Bethany College,2
Westminster College,430652617,Westminster College,Westminster College,2
Pacific College of Health and Science,,Pacific College of Health and Science,Pacific College of Health and Science,3
Western Technical College,237364361,Western Technical College,Western Technical College,3
Southern Technical College,581899079,Southern Technical College,Southern Technical College,2
Sterling College,03-0197728,Sterling College,Sterling College,2
Bryan University,50258810,Bryan University,Bryan University,2
St. John's College,520591421,St. John's College,St. John's College,2
Bethel University,410708577,Bethel University,Bethel University,3
Gould's Academy,10211509,Gould's Academy,Gould's Academy,2
Lawrence & Company College of Cosmetology,471019447,Lawrence & Company College of Cosmetology,Lawrence & Company College of Cosmetology,2
Unitek College,990271348,Unitek College,Unitek College,3
Institute of Technology,300193720,Institute of Technology,Institute of Technology,2
Protege Academy,473812997,Protege Academy,Protege Academy,2
G Skin & Beauty Institute,382893342,G Skin & Beauty Institute,G Skin & Beauty Institute,2
Healthcare Training Institute,874201650,Healthcare Training Institute,Healthcare Training Institute,2
Arthur's Beauty College,,Arthur's Beauty College,Arthur's Beauty College,3
Ideal Beauty Academy,,Ideal Beauty Academy,Ideal Beauty Academy,2
ATA College,,ATA College,ATA College,3
Capri Beauty College,,Capri Beauty College,Capri Beauty College,2
Nuvani Institute,,Nuvani Institute,Nuvani Institute,2
Xtylo Beauty College,,Xtylo Beauty College,Xtylo Beauty College,2
Trend Barber College,,Trend Barber College,Trend Barber College,2
Elevate Salon Institute,,Elevate Salon Institute,Elevate Salon Institute,2
Innovate Salon Academy,,Innovate Salon Academy,Innovate Salon Academy,3
Summit Salon Academy,,Summit Salon Academy,Summit Salon Academy,3
The Beauty Institute,,The Beauty Institute,The Beauty Institute,2
Motoring Technical Training Institute,,Motoring Technical Training Institute,MotoRing Technical Training Institute,2
MotoRing Technical Training Institute,,Motoring Technical Training Institute,MotoRing Technical Training Institute,2
Hays Academy of Hair Design,,Hays Academy of Hair Design,Hays Academy of Hair Design,2
Peloton College,,Peloton College,Peloton College,2
City College-Hollywood,,City College-Hollywood,City College-Hollywood,2
American Institute of Alternative Medicine,,American Institute of Alternative Medicine,American Institute of Alternative Medicine,2
Cheeks Beauty Academy,,Cheeks Beauty Academy,Cheeks Beauty Academy,2
Hair Professionals Career College,,Hair Professionals Career College,Hair Professionals Career College,2
Cortiva Institute,,Cortiva Institute,Cortiva Institute,6
My Le's Beauty College,,My Le's Beauty College,My Le's Beauty College,2
Larry's Barber College,,Larry's Barber College,Larry's Barber College,2
Hair Academy,871891716,Hair Academy,Hair Academy,2
American College of Healthcare and Technology,,American College of Healthcare and Technology,American College of Healthcare and Technology,2
Cambridge College of Healthcare & Technology,,Cambridge College of Healthcare & Technology,Cambridge College of Healthcare & Technology,2
Southern Careers Institute-San Antonio,,Southern Careers Institute-San Antonio,Southern Careers Institute-San Antonio,2
Tulsa Welding School-Jacksonville,,Tulsa Welding School-Jacksonville,Tulsa Welding School-Jacksonville,2
